,precision,recall,f1-score,support
default,0.5244299674267101,0.5609756097560976,0.5420875420875421,287.0
paid off,0.5699658703071673,0.5335463258785943,0.5511551155115512,313.0
accuracy,0.5466666666666666,0.5466666666666666,0.5466666666666666,0.5466666666666666
macro avg,0.5471979188669387,0.5472609678173459,0.5466213287995466,600.0
weighted avg,0.5481845300960153,0.5466666666666667,0.5468177928904002,600.0
