,precision,recall,f1-score,support
default,0.5585284280936454,0.5818815331010453,0.5699658703071673,287.0
paid off,0.6013289036544851,0.5782747603833865,0.5895765472312704,313.0
accuracy,0.58,0.58,0.58,0.58
macro avg,0.5799286658740652,0.5800781467422159,0.5797712087692188,600.0
weighted avg,0.5808560095112167,0.58,0.580196106769241,600.0
