,precision,recall,f1-score,support
default,0.5524475524475524,0.5505226480836237,0.5514834205933682,287.0
paid off,0.589171974522293,0.5910543130990416,0.5901116427432217,313.0
accuracy,0.5716666666666667,0.5716666666666667,0.5716666666666667,0.5716666666666667
macro avg,0.5708097634849227,0.5707884805913326,0.5707975316682949,600.0
weighted avg,0.5716054592965422,0.5716666666666667,0.5716344764815418,600.0
